lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas,thumbnail_url,fonte_imagem,stac_browser_url,stac_id_repr,thumbnail_carregada,tags_osm
41.3,2.2,España,Área Portuária,Alta,"As tags OSM confirmam explicitamente a presença de infraestrutura portuária (industrial=port, harbour=yes, landuse=harbour). A localização nas coordenadas da costa mediterrânea espanhola é consistente com atividade portuária. O padrão de monitoramento SAR com múltiplas plataformas e frequência regular sugere monitoramento de infraestrutura crítica típica de portos comerciais.",20,2020-12-31,2022-06-01,"capella-2, capella-3, capella-5, capella-7, capella-8","Esri Satellite tile (41.30,2.20)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2020/capella-open-data-2020-12/capella-open-data-2020-12-31/CAPELLA_C02_SP_GEO_HH_20201231031006_20201231031030/CAPELLA_C02_SP_GEO_HH_20201231031006_20201231031030.json,CAPELLA_C02_SP_GEO_HH_20201231031006_20201231031030,True,"Área Portuária: industrial=port,harbour=yes,landuse=harbour; Agricultura / Desmatamento: landuse=farmland,landuse=farmyard"
42.2,-83.5,"Van Buren Charter Township, Michigan, United States",Zona Urbana,Alta,"A imagem mostra claramente uma área residencial suburbana com desenvolvimento em torno de lagos, malha viária organizada e loteamentos típicos de Michigan. Os dados OSM confirmam 'landuse/residential' em Van Buren Charter Township, e o padrão de monitoramento SAR com alta resolução (0.374m) sugere interesse em desenvolvimento urbano.",20,2021-08-15,2023-08-20,"capella-2, capella-6","Esri Satellite tile (42.20,-83.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2022/capella-open-data-2022-03/capella-open-data-2022-03-24/CAPELLA_C06_SP_GEO_VV_20220324132714_20220324132738/CAPELLA_C06_SP_GEO_VV_20220324132714_20220324132738.json,CAPELLA_C06_SP_GEO_VV_20220324132714_20220324132738,True,
-20.4,118.6,"Western Australia, Australia",Área de Mineração,Alta,"As tags OSM indicam claramente atividade de mineração (industrial=quarry, landuse=quarry) na região do Pilbara, conhecida pelos grandes projetos de minério de ferro. A imagem satelital mostra extensas áreas de mineração a céu aberto com padrões característicos de extração mineral e infraestrutura associada. A localização em South Hedland, Western Australia, confirma se tratar de uma importante região mineradora.",10,2021-07-08,2021-09-17,capella-3,"Esri Satellite tile (-20.40,118.60)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2021/capella-open-data-2021-07/capella-open-data-2021-07-16/CAPELLA_C03_SP_GEO_HH_20210716133809_20210716133832/CAPELLA_C03_SP_GEO_HH_20210716133809_20210716133832.json,CAPELLA_C03_SP_GEO_HH_20210716133809_20210716133832,True,"Área Portuária: industrial=port; Área de Mineração: industrial=quarry,landuse=quarry; Base Militar: landuse=military; Agricultura / Desmatamento: landuse=farmyard"
43.1,-77.5,"Town of Pittsford, New York, United States",Agricultura / Desmatamento,Alta,"As tags OSM confirmam presença de landuse=farmland, landuse=orchard e landuse=farmyard na região. A imagem satelital mostra claramente áreas de vegetação densa intercaladas com campos abertos e padrões geométricos típicos de atividade agrícola, consistente com a localização em zona rural de New York.",10,2025-08-20,2025-09-12,capella-13,"Esri Satellite tile (43.10,-77.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-08/capella-open-data-2025-08-20/CAPELLA_C13_SP_GEO_VV_20250820043924_20250820044008/CAPELLA_C13_SP_GEO_VV_20250820043924_20250820044008.json,CAPELLA_C13_SP_GEO_VV_20250820043924_20250820044008,True,"Área de Mineração: landuse=quarry; Agricultura / Desmatamento: landuse=farmland,landuse=orchard,landuse=farmyard"
-33.9,151.2,"Sydney, New South Wales, Australia",Zona Urbana,Alta,"A imagem mostra claramente uma densa malha urbana com ruas organizadas em grid, edifícios residenciais e comerciais, parques urbanos e infraestrutura típica de grande cidade. Apesar das tags OSM indicarem presença portuária na região de Sydney, a área específica monitorada apresenta características predominantemente urbanas sem estruturas portuárias visíveis como cais ou terminais de contêineres.",8,2024-11-13,2024-11-22,capella-13,"Esri Satellite tile (-33.90,151.20)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-13/CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642/CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642.json,CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642,True,"Área Portuária: industrial=port,industrial=port;intermodal_freight_terminal,military=naval_dockyard; Base Militar: military=checkpoint,military=base,landuse=military,military=bunker,military=office,military=naval_dockyard; Agricultura / Desmatamento: landuse=farmland"
-27.5,153.0,"Brisbane, Queensland, Australia",Zona Urbana,Alta,"A imagem mostra claramente uma área urbana densamente povoada com malha viária bem definida, quarteirões residenciais organizados e um rio serpenteando pela cidade. Apesar de Brisbane ser uma cidade portuária conhecida, a localização específica (St Lucia, subúrbio universitário) e a imagem revelam zona urbana consolidada sem infraestrutura portuária visível. O monitoramento SAR intensivo pode estar relacionado ao monitoramento urbano ou de infraestrutura crítica na região metropolitana.",8,2025-07-30,2025-08-08,capella-13,"Esri Satellite tile (-27.50,153.00)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-07/capella-open-data-2025-07-30/CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603/CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603.json,CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603,True,"Área Portuária: landuse=harbour; Área de Mineração: landuse=quarry,industrial=mine; Base Militar: military=checkpoint,military=base,landuse=military,military=training_area; Agricultura / Desmatamento: landuse=farmland,landuse=orchard,landuse=farmyard"
-23.5,148.8,"Queensland, Australia",Área de Mineração,Alta,"A imagem revela estruturas características de mineração com padrões geométricos artificiais, áreas de escavação e possíveis pilhas de material. A localização em Queensland, região conhecida por atividade mineradora, combinada com o monitoramento SAR de alta resolução (0.295m) e frequência regular, confirma monitoramento de operações de mineração.",8,2025-03-19,2025-05-03,capella-13,"Esri Satellite tile (-23.50,148.80)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-19/CAPELLA_C13_SP_GEO_HH_20250319173551_20250319173630/CAPELLA_C13_SP_GEO_HH_20250319173551_20250319173630.json,CAPELLA_C13_SP_GEO_HH_20250319173551_20250319173630,True,
-14.5,132.4,"Tindal, Australia",Base Militar,Alta,"As tags OSM identificam claramente instalações militares (military=airfield, military=bunker, landuse=military) e a imagem revela uma base aérea com pista de pouso alongada, hangares e instalações militares organizadas. O monitoramento SAR em alta resolução (0.35m) com múltiplas plataformas é consistente com vigilância de infraestrutura militar sensível.",8,2023-05-07,2023-11-24,"capella-10, capella-9","Esri Satellite tile (-14.50,132.40)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-05/capella-open-data-2023-05-07/CAPELLA_C10_SP_GEO_HH_20230507162051_20230507162119/CAPELLA_C10_SP_GEO_HH_20230507162051_20230507162119.json,CAPELLA_C10_SP_GEO_HH_20230507162051_20230507162119,True,"Área de Mineração: landuse=quarry; Base Militar: military=checkpoint,landuse=military,military=bunker,military=airfield; Agricultura / Desmatamento: landuse=farmland,landuse=orchard,landuse=farmyard"
35.3,-75.5,"North Carolina, United States",Costa / Oceano,Alta,"A imagem revela claramente uma formação costeira estreita (barrier island) com águas oceânicas profundas, características típicas dos Outer Banks da Carolina do Norte. A localização em Dare County confirma tratar-se de uma área costeira natural sem infraestrutura portuária organizada ou outras estruturas especializadas.",8,2024-05-09,2024-08-17,"capella-10, capella-14, capella-9","Esri Satellite tile (35.30,-75.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-05/capella-open-data-2024-05-09/CAPELLA_C10_SP_GEO_HH_20240509150102_20240509150132/CAPELLA_C10_SP_GEO_HH_20240509150102_20240509150132.json,CAPELLA_C10_SP_GEO_HH_20240509150102_20240509150132,True,
38.3,-77.0,"Maryland, United States",Base Militar,Alta,"As tags OSM confirmam múltiplas instalações militares na área (checkpoint, bunker, airfield, range, office). A localização em Charles County, Maryland, próxima a Washington DC, é consistente com bases militares importantes. O monitoramento SAR em alta resolução (0.353m) com múltiplas plataformas sugere monitoramento de infraestrutura militar crítica.",8,2022-10-11,2023-02-24,"capella-3, capella-5, capella-8","Esri Satellite tile (38.30,-77.00)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2022/capella-open-data-2022-10/capella-open-data-2022-10-11/CAPELLA_C03_SP_GEO_VV_20221011145414_20221011145436/CAPELLA_C03_SP_GEO_VV_20221011145414_20221011145436.json,CAPELLA_C03_SP_GEO_VV_20221011145414_20221011145436,True,"Base Militar: military=checkpoint,landuse=military,military=bunker,military=airfield,military=range,military=office"
-25.3,131.0,Australia,Outro / Indeterminado,Média,"A imagem mostra uma paisagem árida característica do interior australiano (Outback) com formações rochosas naturais, canais de drenagem e vegetação esparsa. O monitoramento SAR intensivo (6 imagens em 5 dias) em alta resolução sugere interesse em mudanças ou eventos específicos, mas não há evidências visuais claras de atividade industrial, militar ou urbana que justifique as outras classificações.",6,2025-07-28,2025-08-03,capella-13,"Esri Satellite tile (-25.30,131.00)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-07/capella-open-data-2025-07-28/CAPELLA_C13_SP_GEO_HH_20250728104759_20250728104833/CAPELLA_C13_SP_GEO_HH_20250728104759_20250728104833.json,CAPELLA_C13_SP_GEO_HH_20250728104759_20250728104833,True,
19.4,-155.2,"Volcano, Hawaii, United States",Agricultura / Desmatamento,Alta,As tags OSM confirmam explicitamente 'landuse=farmland' na região. A localização no Havaí em zona tropical com potencial agrícola é consistente com atividade de desmatamento para agricultura. A imagem mostra área predominantemente verde com padrões que sugerem uso da terra para fins agrícolas.,6,2024-08-06,2024-10-10,"capella-10, capella-13","Esri Satellite tile (19.40,-155.20)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-08/capella-open-data-2024-08-06/CAPELLA_C10_SP_GEO_HH_20240806084128_20240806084159/CAPELLA_C10_SP_GEO_HH_20240806084128_20240806084159.json,CAPELLA_C10_SP_GEO_HH_20240806084128_20240806084159,True,Agricultura / Desmatamento: landuse=farmland
19.4,-155.1,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A imagem mostra claramente uma cratera vulcânica com fluxos de lava escura e atividade geológica recente. As coordenadas (19.4000, -155.1000) localizam o ponto no Havaí, região conhecida por vulcões ativos como Kilauea. O monitoramento SAR intensivo (6 imagens em 5 dias) com alta resolução (0.29m) é consistente com acompanhamento de atividade vulcânica.",6,2025-02-05,2025-02-11,capella-13,"Esri Satellite tile (19.40,-155.10)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-05/CAPELLA_C13_SP_GEO_HH_20250205170351_20250205170426/CAPELLA_C13_SP_GEO_HH_20250205170351_20250205170426.json,CAPELLA_C13_SP_GEO_HH_20250205170351_20250205170426,True,
36.9,-6.0,"Lebrija, Andalucía, España",Agricultura / Desmatamento,Alta,"As tags OSM confirmam presença de atividade agrícola (landuse=farmyard) e a imagem satelital mostra claramente um padrão de campos cultivados em talhões geométricos típicos de agricultura intensiva. O monitoramento SAR de alta frequência (a cada 2 dias) é consistente com acompanhamento de safras ou mudanças na cobertura vegetal agrícola na região de Andalucía, Espanha.",6,2023-01-02,2023-01-12,capella-8,"Esri Satellite tile (36.90,-6.00)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-01/capella-open-data-2023-01-02/CAPELLA_C08_SP_GEO_HH_20230102102719_20230102102743/CAPELLA_C08_SP_GEO_HH_20230102102719_20230102102743.json,CAPELLA_C08_SP_GEO_HH_20230102102719_20230102102743,True,"Área de Mineração: landuse=quarry; Base Militar: military=barracks,landuse=military; Agricultura / Desmatamento: landuse=farmyard"
37.8,-122.5,"San Francisco, California, United States",Costa / Oceano,Alta,"A imagem mostra claramente uma interface costeira natural entre água e terra em San Francisco, sem estruturas portuárias organizadas como cais ou guindastes. Embora as tags OSM indiquem presença de área portuária e base militar no raio de 8km, a região específica monitorada (Seacliff) apresenta características predominantemente costeiras naturais com zona urbana adjacente, mas sem infraestrutura portuária visível na área de interesse.",6,2024-11-12,2024-11-24,capella-13,"Esri Satellite tile (37.80,-122.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-12/CAPELLA_C13_SP_GEO_HH_20241112185032_20241112185042/CAPELLA_C13_SP_GEO_HH_20241112185032_20241112185042.json,CAPELLA_C13_SP_GEO_HH_20241112185032_20241112185042,True,"Área Portuária: industrial=port; Base Militar: landuse=military,military=bunker,military=range,military=office; Agricultura / Desmatamento: landuse=farmyard"
-30.8,121.5,"Boulder, Western Australia, Australia",Área de Mineração,Alta,"As tags OSM confirmam explicitamente 'landuse=quarry' e 'industrial=mine' na área. A imagem satelital mostra claramente uma grande operação de mineração a céu aberto com cratera característica, pilhas de rejeito e padrões de extração típicos. A localização em Kalgoorlie-Boulder, Western Australia, é uma região historicamente conhecida pela mineração de ouro.",4,2023-04-21,2023-05-16,capella-8,"Esri Satellite tile (-30.80,121.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-04/capella-open-data-2023-04-21/CAPELLA_C08_SP_GEO_HH_20230421135351_20230421135415/CAPELLA_C08_SP_GEO_HH_20230421135351_20230421135415.json,CAPELLA_C08_SP_GEO_HH_20230421135351_20230421135415,True,"Área de Mineração: landuse=quarry,industrial=mine"
-28.8,122.4,"Laverton, Western Australia, Australia",Área de Mineração,Alta,"As tags OSM confirmam explicitamente 'landuse=quarry, industrial=mine' indicando área de mineração. A imagem mostra estruturas típicas de mineração incluindo uma grande cava a céu aberto, pilhas de rejeito e estradas de acesso. A localização em Western Australia, região conhecida pela atividade mineradora, corrobora com a classificação.",4,2023-10-17,2023-11-16,capella-10,"Esri Satellite tile (-28.80,122.40)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-10/capella-open-data-2023-10-17/CAPELLA_C10_SP_GEO_HH_20231017061809_20231017061846/CAPELLA_C10_SP_GEO_HH_20231017061809_20231017061846.json,CAPELLA_C10_SP_GEO_HH_20231017061809_20231017061846,True,"Área de Mineração: landuse=quarry,industrial=mine"
-20.7,121.7,"Western Australia, Australia",Área de Mineração,Alta,"A imagem mostra claramente estruturas lineares paralelas características de operações de mineração a céu aberto, com padrões de escavação em terraços. A localização em Telfer, Western Australia, na região de Pilbara conhecida por mineração, combinada com o monitoramento SAR de alta resolução (0.325m) usando múltiplas plataformas, confirma atividade de mineração significativa.",4,2023-09-01,2023-09-13,"capella-10, capella-9","Esri Satellite tile (-20.70,121.70)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-09/capella-open-data-2023-09-01/CAPELLA_C10_SP_GEO_HH_20230901170639_20230901170715/CAPELLA_C10_SP_GEO_HH_20230901170639_20230901170715.json,CAPELLA_C10_SP_GEO_HH_20230901170639_20230901170715,True,
34.1,-118.7,"Unincorporated Santa Monica Mountains, California, United States",Base Militar,Alta,"As tags OSM confirmam presença militar (landuse=military, military=bunker, military=historic) nas Santa Monica Mountains. O monitoramento SAR intensivo com alta resolução (0.27m) a cada 0.7 dias indica atividade sensível que requer vigilância frequente, consistente com instalações militares.",4,2024-12-11,2024-12-14,capella-13,"Esri Satellite tile (34.10,-118.70)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-12/capella-open-data-2024-12-11/CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738/CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738.json,CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738,True,"Base Militar: landuse=military,military=bunker,military=historic; Agricultura / Desmatamento: landuse=farmland,landuse=vineyard,landuse=orchard"
